timestamp,bid,bid_size,bid_count,ask,ask_size,ask_count
2021-02-05T10:15:41.740699+01:00,37688.05,0.02908523,2,37688.06,2.6,2
2021-02-05T10:15:46.912250+01:00,37666.4,0.5,1,37666.42,0.01327442,1
2021-02-05T10:15:52.339478+01:00,37671.59,0.5,1,37673.46,0.01327194,1
2021-02-05T10:15:57.513322+01:00,37682.65,0.0254,1,37684.13,0.01,1
2021-02-05T10:16:02.698033+01:00,37702.56,2.19027698,4,37702.57,0.0854,1
2021-02-05T10:16:07.869577+01:00,37711.36,0.024,1,37712.69,0.5,1
2021-02-05T10:16:13.314083+01:00,37692.23,0.74127896,1,37697.59,0.01,1
2021-02-05T10:16:18.369757+01:00,37685.18,0.5,1,37691.12,0.42094844,1
2021-02-05T10:16:23.552170+01:00,37693.9,0.5,1,37700.43,0.04767695,1
2021-02-05T10:16:28.718894+01:00,37700.66,0.5994,3,37700.67,0.079,1
2021-02-05T10:16:33.760558+01:00,37700.65,0.06130166,5,37700.66,2.59078841,3
2021-02-05T10:16:38.950179+01:00,37701.15,0.0206,1,37701.66,0.0114886,1
2021-02-05T10:16:44.501659+01:00,37700,0.5205,2,37700.01,4.33486644,7
2021-02-05T10:16:49.559129+01:00,37688.53,0.0217,2,37688.54,2.01923226,5
2021-02-05T10:16:54.752144+01:00,37687.3,0.0004,1,37687.31,1.35867954,7
2021-02-05T10:16:59.793166+01:00,37685.69,0.5,1,37685.71,0.01,1
2021-02-05T10:17:04.848893+01:00,37693.5,2.32026201,9,37693.51,2.173049,1
2021-02-05T10:17:10.039911+01:00,37699.65,0.19034301,2,37700.01,0.4660311,1
2021-02-05T10:17:15.202797+01:00,37700,0.77673629,6,37700.01,3.00682039,4
2021-02-05T10:17:20.361274+01:00,37700,1.43402388,9,37700.01,0.47022741,3
2021-02-05T10:17:25.654464+01:00,37700,1.35809406,8,37700.01,0.53099209,5
2021-02-05T10:17:30.810347+01:00,37700,3.99395389,13,37700.08,0.89473742,1
2021-02-05T10:17:35.878543+01:00,37707.6,0.1651,3,37707.61,0.388891,1
2021-02-05T10:17:41.174800+01:00,37710.04,0.75242969,4,37710.05,0.047089,1
2021-02-05T10:17:46.225941+01:00,37710.11,0.33826977,5,37710.12,1.553668,1
2021-02-05T10:17:51.397859+01:00,37710.25,0.20065459,5,37710.26,1,1
2021-02-05T10:17:56.443095+01:00,37707.59,0.48294365,3,37707.6,4.27263713,7
2021-02-05T10:18:01.638382+01:00,37709.92,0.05,1,37710.05,0.3889014,1
2021-02-05T10:18:06.690474+01:00,37723.07,0.0176,1,37726.06,0.39,1
2021-02-05T10:18:12.275821+01:00,37723.74,0.74127896,1,37727.84,0.5,1
2021-02-05T10:18:17.330860+01:00,37716.55,0.38078424,2,37716.56,5.47398892,5
2021-02-05T10:18:22.503556+01:00,37700.01,0.68279515,4,37700.34,0.66310403,1
2021-02-05T10:18:27.617201+01:00,37652.31,0.3892,1,37660.44,0.48968,1
2021-02-05T10:18:32.782166+01:00,37648.16,0.0074,1,37648.42,0.39,1
2021-02-05T10:18:37.826744+01:00,37626.65,0.5,1,37627.72,0.1143225,1
2021-02-05T10:18:43.373885+01:00,37622.57,0.0587,2,37622.58,3.61245604,6
2021-02-05T10:18:48.434986+01:00,37597.42,0.0125,1,37597.43,0.45396792,2
2021-02-05T10:18:53.598954+01:00,37596.34,0.497,1,37598.07,0.39,1
2021-02-05T10:18:58.656683+01:00,37626.07,0.07528293,1,37630.36,0.39,1
2021-02-05T10:19:03.847807+01:00,37659.22,0.5,1,37667.86,0.02323633,1
2021-02-05T10:19:08.902957+01:00,37644.58,0.27637394,1,37648.15,0.57889,2
2021-02-05T10:19:14.236820+01:00,37648.29,0.796,1,37649.62,0.39,1
2021-02-05T10:19:19.284334+01:00,37638.18,0.39,1,37645.64,0.39,1
2021-02-05T10:19:24.439446+01:00,37646.66,0.0622,1,37650.62,0.48968,1
2021-02-05T10:19:29.491865+01:00,37647.86,0.1,1,37653.93,0.48968,1
2021-02-05T10:19:34.815368+01:00,37649.03,0.1,1,37653.94,0.0943842,1
2021-02-05T10:19:39.860519+01:00,37651.2,0.0066151,1,37651.21,3.08417919,4
2021-02-05T10:19:45.047490+01:00,37644.17,0.0274,1,37644.18,0.5714507,2
2021-02-05T10:19:50.098227+01:00,37645.12,0.1274,2,37645.13,0.48968,1
2021-02-05T10:19:55.283053+01:00,37646.4,0.0267,1,37648.75,0.39,1
2021-02-05T10:20:00.333159+01:00,37651.47,0.39,1,37654.79,0.39,1
2021-02-05T10:20:05.639709+01:00,37655.68,0.03035166,2,37655.69,0.06,1
2021-02-05T10:20:10.700438+01:00,37658.55,0.98721848,8,37658.56,0.43972215,2
2021-02-05T10:20:15.989220+01:00,37667.65,0.025,1,37667.87,0.005,1
2021-02-05T10:20:21.173258+01:00,37663.9,0.0248,1,37666.6,0.04769449,1
2021-02-05T10:20:26.364055+01:00,37665.07,0.91377241,4,37665.08,0.48968,1
2021-02-05T10:20:31.407139+01:00,37665.11,0.03977241,3,37665.12,4.32316604,9
2021-02-05T10:20:36.683783+01:00,37648.13,0.5,1,37651.46,0.02227788,1
2021-02-05T10:20:41.733105+01:00,37655.53,0.1285979,4,37655.54,0.43970763,2
2021-02-05T10:20:46.925211+01:00,37659.44,0.2119,4,37659.46,0.01,1
2021-02-05T10:20:51.984790+01:00,37663.79,0.00384192,1,37665.13,0.39,1
2021-02-05T10:20:57.145582+01:00,37659.45,0.0996,2,37659.46,0.87830581,2
2021-02-05T10:21:02.320089+01:00,37655.54,0.00127441,1,37655.55,2.60821,3
2021-02-05T10:21:07.473546+01:00,37628.1,0.02856713,2,37628.11,3.03532045,8
2021-02-05T10:21:12.519967+01:00,37628.38,0.078,1,37630.7,0.39,1
2021-02-05T10:21:17.694751+01:00,37624.08,0.5,1,37625.74,0.1060422,1
2021-02-05T10:21:22.746165+01:00,37623.76,0.3519,3,37623.77,3.05276794,5
2021-02-05T10:21:27.975924+01:00,37643.41,0.0147,1,37643.46,0.451,1
2021-02-05T10:21:33.042674+01:00,37639.69,2.76194633,1,37646.36,0.39,1
2021-02-05T10:21:38.100415+01:00,37628.06,0.0254,1,37632.42,0.5,1
2021-02-05T10:21:43.267068+01:00,37619.77,0.0725,1,37624.54,0.1060422,1
2021-02-05T10:21:48.572358+01:00,37619.8,0.7165,1,37620.81,0.39,1
2021-02-05T10:21:53.744857+01:00,37625.4,0.797,1,37629.23,0.5,1
2021-02-05T10:21:59.233694+01:00,37619.49,0.7654,1,37622.77,0.05651971,2
2021-02-05T10:22:04.399992+01:00,37616.78,0.71430868,1,37619.65,0.39,1
2021-02-05T10:22:09.559580+01:00,37603.89,0.797,1,37610.56,0.39,1
2021-02-05T10:22:14.759208+01:00,37605.63,0.7938,1,37610.71,0.39,1
2021-02-05T10:22:19.950458+01:00,37607.48,0.796,1,37609.31,2.1,1
2021-02-05T10:22:25.390489+01:00,37603.43,1.08593877,1,37606.81,0.5,1
2021-02-05T10:22:30.701806+01:00,37603.43,0.55174684,1,37603.44,2.55869945,3
2021-02-05T10:22:35.895132+01:00,37593.01,0.7113,2,37596.51,0.39,1
2021-02-05T10:22:41.108421+01:00,37588.14,0.65937509,1,37592.62,0.39,1
2021-02-05T10:22:46.675675+01:00,37587.64,0.7703,1,37592.19,0.07832122,1
2021-02-05T10:22:52.253646+01:00,37579.76,0.63577971,1,37581.96,0.39,1
2021-02-05T10:22:57.409937+01:00,37546.19,0.1,1,37558,0.11821,1
2021-02-05T10:23:02.463585+01:00,37537.62,0.1,1,37537.63,0.11821,1
2021-02-05T10:23:07.742990+01:00,37559.67,0.1,1,37565.8,0.39,1
2021-02-05T10:23:12.914065+01:00,37564.85,0.01388307,1,37565.72,0.39,1
